artist_id,artist_name,total_followers,genres,popularity
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,5153568,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",85
02kJSzxNuaWGqwubyUba0Z,G-Eazy,4732712,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",84
6X9aYHnQ75YI8o08aoa0iS,Boyzone,652896,"['boy band', 'bubblegum dance', 'dance pop', 'europop', 'pop rock']",63
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,1027517,"['dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",77
0t7vWPRBcVv4xBEHPZHSWA,Sitti,65514,['opm'],52
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,1852617,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",74
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,446391,"['dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']",66
6dC0rIJNLSFZwqckLgXJ8p,Timeflies,306052,"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']",62
69ug07KFFRhcCZ7iZ1Mn1i,Bailey May,55272,[],32
2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,472612,['post-teen pop'],62
5X4LWwbUFNzPkEas04uU82,DVBBS,865948,"['big room', 'canadian electronic', 'deep big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",69
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,24661091,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",87
36jaGQtMj5UWD0eO1fCVdD,Joel Adams,147339,"['australian pop', 'pop soul']",62
5PokPZn11xzZXyXSfnvIM3,Lifehouse,1558270,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",69
5aMmmNxw4vgpc5XC6hK0zp,The Calling,544774,"['neo mellow', 'pop rock']",65
2FwJwEswyIUAljqgjNSHgP,Snakehips,327526,"['dance pop', 'edm', 'electro house', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",69
0AJUYWKztkg5dnrHDIBv47,MiC LOWRY,43852,[],43
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,5783808,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",79
7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1791665,"['opm', 'pinoy reggae', 'pinoy rock']",65
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,2021284,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",73
3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,76311,['opm'],46
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,4009306,"['dance pop', 'girl group', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'urban contemporary']",74
2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,986761,"['canadian contemporary r&b', 'canadian pop', 'indie cafe pop', 'pop', 'post-teen pop']",72
7xEFii6utZmQ61kX59HmLH,FRENSHIP,152075,"['electropop', 'indie electropop', 'indie poptimism', 'la pop', 'pop dance', 'pop edm', 'tropical house']",60
7DW4ijH3n36QN0RlC0n649,Angeline Quinto,383042,['opm'],56
5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,48481,"['australian pop', 'australian talent show']",57
4PVn1b2WnnXdq80C7uaZLZ,Nause,196338,"['edm', 'progressive electro house', 'swedish pop']",51
0jnsk9HBra6NMjO2oANoPY,Flo Rida,7908335,"['dance pop', 'miami hip hop', 'pop', 'pop dance', 'pop rap']",81
0hEurMDQu99nJRq8pTxO14,John Mayer,4881275,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",82
7H55rcKCfwqkyDFH9wpKM6,Christina Perri,2829411,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",75
1Fr6agZ6iSM5Ynn2k4C8sc,VÉRITÉ,238571,"['alternative r&b', 'brooklyn indie', 'electropop', 'indie electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'nyc pop', 'pop', 'shimmer pop', 'vapor pop', 'vapor soul']",58
5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,531299,"['dance pop', 'opm', 'papuri']",55
0DdDnziut7wOo6cAYWVZC5,KREAM,133254,"['big room', 'dance pop', 'deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",66
6Ww3OMFzCaO33ulKh1LBFN,Hale,554010,"['opm', 'pinoy reggae', 'pinoy rock']",61
2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,45380,"['opm', 'pinoy indie']",55
6nxWCVXbOlEVRexSbLsTer,Flume,2120229,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",76
4TH4BHy0LdBi3dpBW4P2UX,R. City,117214,"['reggae fusion', 'virgin islands reggae']",65
5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho,64678,"['disney', 'hollywood', 'movie tunes', 'show tunes']",68
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,531740,"['dance pop', 'hollywood', 'movie tunes', 'post-teen pop', 'show tunes']",67
0lzV2CiahHRiGd6qpADtPS,James Hersey,49423,['tropical house'],56
4bYPcJP5jwMhSivRcqie2n,Adam Levine,842007,['pop rock'],75
62WbvkXqQGvXQvw74GU3kQ,Morissette,576644,['opm'],57
0gadJ2b9A4SKsB1RFkBb66,Passenger,2705153,"['folk-pop', 'neo mellow', 'pop']",77
6jJ0s89eD6GaHleKKya26X,Katy Perry,17245615,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",87
5mNum7eUoqWS6NBo91NYHP,Abra,23563,[],31
0AuZVHIr5WSEBbBLZwWwWc,Charice,118393,"['dance pop', 'opm', 'post-teen pop', 'viral pop']",51
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,1671693,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']",69
6jV25rzTKQ2zMgrqHha1V5,CHANYEOL,1173724,['k-pop'],64
7KMqksf0UMdyA0UCf4R3ux,James Blunt,2331812,"['neo mellow', 'pop', 'pop rock']",75
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,3185092,"['neo mellow', 'piano rock', 'pop', 'pop rock']",74
4kYGAK2zu9EAomwj3hXkXy,JP Cooper,596448,"['neo mellow', 'pop', 'pop dance', 'pop rock', 'tropical house', 'uk pop']",75
6vWDO969PvNqNYHIOW5v0m,Beyoncé,25850873,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b']",88
7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter,198683,"['canadian pop', 'neo mellow', 'pop rock']",63
11hIqBsGRPztdjBHCSLClX,Daniel Bedingfield,122622,"['dance pop', 'europop']",58
4KOFxteqSAveWCElBVijTy,Joshua Garcia,31526,[],22
1mcqfNCReSFxun2vIWvC28,KZ Tandingan,606012,['opm'],59
719ZCUqy59oGckcB1MzVTx,The Company,18417,[],44
4HOEnLufwAqJ2qoJPVnL01,Callalily,906515,"['opm', 'pinoy rock']",57
7HJDRQAfEcFiARVehhM6qD,Gloc 9,744287,"['opm', 'pinoy hip hop', 'pinoy trap', 'tagalog rap']",61
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,283642,"['hollywood', 'show tunes']",69
5JZ7CnR6gTvEMKX4g70Amv,Lauv,3866449,"['electropop', 'pop', 'post-teen pop']",85
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,15779665,"['dance pop', 'pop', 'pop dance']",89
4EzkuveR9pLvDVFNx6foYD,James Bay,3208654,"['modern rock', 'neo mellow', 'pop', 'pop rock']",78
188VINPQh5dyNfLUkevKqf,Olivia Holt,923814,"['pop', 'post-teen pop', 'social media pop']",60
7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A,346815,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",68
3zrUX1hQrUB9aXcOiyQLmN,Stanaj,58701,[],50
6kXm2YCtdUOpRYNKeKhfue,Ryan Gosling,33871,['hollywood'],59
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,2150989,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock', 'rock']",73
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,3467848,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",82
0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,388600,['opm'],54
49tQo2QULno7gxHutgccqF,LANY,3238512,"['la pop', 'pop']",78
6aLdhHUqgdKE86xbtNmY8g,Crush,720895,"['k-pop', 'korean r&b']",71
64KEffDW9EtZ1y2vBYgq8T,Marshmello,29030331,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",89
1XLjkBxFokuDTlHt0mQkRe,Thomas Gold,144331,"['big room', 'deep big room', 'deep tropical house', 'edm', 'electro house', 'funky tech house', 'german techno', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'sky room', 'tropical house']",57
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,1994622,"['boy band', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",70
4lDBihdpMlOalxy1jkUbPl,Grey,55861,"['electropop', 'pop edm']",73
1tXFYQZSAswt4JLB42lpye,Sponge Cola,780288,"['opm', 'pinoy reggae', 'pinoy rock']",58
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,9142354,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",79
4U78sK2D3zASSB6oSR38GQ,Christian Bautista,339948,"['dance pop', 'opm']",60
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,8294697,"['neo soul', 'pop', 'r&b', 'urban contemporary']",82
58MLl9nC29IXbE4nEtuoP2,Alex & Sierra,982253,"['indie cafe pop', 'neo mellow', 'pop', 'post-teen pop', 'viral pop']",68
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,32186847,"['modern rock', 'rock']",88
5338fdSzGNOFD4cxAxDTeq,Aaron Carter,213123,"['dance pop', 'post-teen pop']",48
0c173mlxpT3dSFRgMO8XPh,Big Sean,8069688,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",86
4NagmapOfJiPOxJ9vQsrsf,Mikkel S. Eriksen,186,[],26
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,6980195,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",70
7LVPSD4kabI5LiXIVPI8tn,Jona,93298,['opm'],47
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,3242394,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'viral pop']",78
1DZGAZcaTA32eLJELEsjXY,Kiana V,32764,['pinoy indie'],43
4qBgvVog0wzW75IQ48mU7v,KYLE,948123,"['pop rap', 'rap', 'social media pop']",73
2yEkZBBjhzKzt6LF5XMaFi,Blue,373239,"['boy band', 'dance pop', 'europop']",63
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,4343216,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",87
3Nrfpe0tUJi4K4DXYWgMUX,BTS,27925885,"['k-pop', 'k-pop boy group']",96
0dtmYDbYpwcdHPBI1OJatT,Hugh Grant,4967,['hollywood'],51
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,3625688,"['boy band', 'dance pop', 'europop']",79
2XMxHczWkSzDDFhiC3zt8k,Marié Digby,62047,['lilith'],48
0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,222074,"['acoustic pop', 'neo mellow', 'pop rock']",59
0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,103987,"['acoustic pop', 'neo mellow', 'opm', 'pop rock', 'viral pop']",60
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,1415077,"['boy band', 'dance pop', 'europop', 'pop']",73
0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,307950,"['neo mellow', 'pop rock']",65
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,8975913,"['dance pop', 'edm', 'indietronica', 'metropopolis', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",83
3QLIkT4rD2FMusaqmkepbq,Rachel Platten,813382,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",69
3z0IVhtuFvt9VYUZGT98PU,Jay R,111973,['opm'],49
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,11181107,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",84
3FUY2gzHeIiaesXtOAdB7A,Train,3552075,"['dance pop', 'neo mellow', 'pop', 'pop rock']",77
0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,369634,['opm'],50
246dkjvS1zLTtiykXe5h60,Post Malone,30732332,"['dfw rap', 'melodic rap', 'rap']",93
23fqKkggKUBHNkbKtXEls4,Kygo,7104728,"['edm', 'pop', 'pop dance', 'tropical house']",86
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,17816505,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",87
09DdQEMQaaq0f99vqqub3V,krissy & ericka,19609,['acoustic opm'],50
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,12007458,"['art pop', 'pop']",87
2qxJFvFYMEDqd7ui6kSAcq,Zedd,5319938,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",81
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,8794933,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",88
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,2022022,"['contemporary country', 'country pop']",75
1bqxdqvUtPWZri43cKHac8,MAX,616584,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",77
163tK9Wjr9P9DmM0AVK7lm,Lorde,7030292,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'pop dance', 'post-teen pop']",80
1RyvyyTE3xzB2ZywiAwp0i,Future,9782300,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",91
6LuN9FCkKOj5PcnpouEgny,Khalid,13281251,"['alternative r&b', 'pop']",91
1xHQO9GJIW9OXHxGBISYc5,Marian Hill,434654,['electropop'],63
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,855349,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'tropical house', 'uk dance']",77
5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,412373,['opm'],57
4S9EykWXhStSc15wEx8QFK,Céline Dion,4470586,"['canadian pop', 'dance pop']",79
4N3cNXg5phUzRzuJYYxQlV,Emma Watson,60214,"['disney', 'hollywood', 'movie tunes', 'show tunes']",56
4tB1f1h4TQqDz4bNaibMpl,Emma Thompson,2728,['show tunes'],54
5lLVsxABqSuosfqAoLQeXV,Dan Stevens,3902,"['disney', 'hollywood', 'movie tunes', 'show tunes']",55
105Paee9vmV5rfLSG652e1,Ewan McGregor,24739,['hollywood'],58
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,21992909,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",88
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,22274777,"['dance pop', 'pop', 'pop dance', 'uk pop']",94
2MoxYOhy9ooC8KRcdgIFif,Leroy Styles,3559,['dutch edm'],30
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,1767494,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']",78
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,16299357,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",89
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,1322728,"['dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']",72
6KImCVD70vtIoJWnq6nGn3,Harry Styles,12169255,"['pop', 'post-teen pop']",91
26VFTg2z8YR0cCuwLzESi2,Halsey,13573132,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']",89
2cFrymmkijnjDg9SS92EPM,blackbear,3891838,"['electropop', 'pop', 'pop rap']",88
4u5smJBskI6Adzv08PuiUP,Kiiara,730197,"['dance pop', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']",68
74XFHRwlV6OrjEM0A2NCMF,Paramore,5690688,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']",80
7ygtjsCTrCQZAYYPOne9uE,Erik Santos,491308,['opm'],57
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,784727,"['indie folk', 'indie pop', 'stomp and holler']",74
4TrraAsitQKl821DQY42cZ,Sigrid,509332,"['dance pop', 'norwegian pop', 'pop']",64
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,5548952,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",82
6vXTefBL93Dj5IqAWq6OTv,French Montana,3777144,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",81
7blkMNJv8n9ceP9zlA4W2U,Shawn Hook,59422,['canadian pop'],52
4xRYI6VqpkE3UwrDrAZL8L,Logic,5159698,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",83
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,10644634,"['melodic rap', 'philly rap', 'rap', 'trap']",92
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,13914575,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",91
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,7045649,"['dance pop', 'pop', 'post-teen pop']",77
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,19662440,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']",86
4iSU0hKfGnU2nscL5dLi9p,Claudia,16228,['pinoy r&b'],35
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,7358400,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",80
